,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-06-26,27.8,20.7,23.1,29.8,20.7,23.2,20.1,83.9,0.032,100,4.17,rain,0,0,25.9,22.2,142.3,1009.7,84.9,15.5,177.9,15.3,8,30,2023-06-26T05:09:00,2023-06-26T20:25:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KOWD,KBED,0518W,KBOS"
1,"Boston, MA, United States",2023-06-27,23.4,20.7,22.0,23.4,20.7,22.0,20.1,89.1,19.534,100,41.67,rain,0,0,53.6,29.2,170.0,1007.7,84.5,13.5,211.2,18.1,6,10,2023-06-27T05:09:23,2023-06-27T20:25:12,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,KBED,0518W,KBOS"
2,"Boston, MA, United States",2023-06-28,23.9,21.2,22.0,23.9,21.2,22.0,19.7,87.1,8.2,54,33.33,rain,0,0,29.5,20.5,177.4,1010.6,81.3,8.6,222.4,19.3,6,30,2023-06-28T05:09:47,2023-06-28T20:25:10,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
3,"Boston, MA, United States",2023-06-29,23.4,20.0,21.6,23.4,20.0,21.6,18.8,84.3,1.6,43,12.5,rain,0,0,22.3,14.8,187.2,1013.7,59.8,16.3,248.2,21.4,7,10,2023-06-29T05:10:14,2023-06-29T20:25:07,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
4,"Boston, MA, United States",2023-06-30,26.2,19.0,22.9,26.2,19.0,22.9,18.2,75.8,0.3,38,4.17,rain,0,0,28.1,19.1,179.6,1015.3,39.7,21.5,325.3,28.1,8,10,2023-06-30T05:10:42,2023-06-30T20:25:02,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
5,"Boston, MA, United States",2023-07-01,24.3,19.2,22.1,24.3,19.2,22.1,18.0,77.8,1.4,45,12.5,rain,0,0,30.2,19.8,170.8,1014.8,64.0,19.5,114.7,9.9,5,10,2023-07-01T05:11:12,2023-07-01T20:24:54,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Boston, MA, United States",2023-07-02,23.2,20.1,21.7,23.2,20.1,21.7,19.7,88.4,8.2,64,33.33,rain,0,0,32.8,21.2,160.6,1010.8,83.6,18.4,22.5,2.1,1,10,2023-07-02T05:11:43,2023-07-02T20:24:44,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
7,"Boston, MA, United States",2023-07-03,24.7,19.9,22.1,24.7,19.9,22.1,19.8,87.0,2.1,61,29.17,rain,0,0,27.0,18.0,197.4,1008.2,68.3,17.4,207.1,17.9,6,10,2023-07-03T05:12:16,2023-07-03T20:24:32,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,
