,datetime,tempmin,temp,tempmax
0,2023-06-26,20.7,21.8,23.4
1,2023-06-27,21.2,21.8,22.8
2,2023-06-28,20.6,21.7,23.4
3,2023-06-29,19.4,22.1,24.7
4,2023-06-30,19.0,22.0,24.7
5,2023-07-01,18.5,21.9,24.6
6,2023-07-02,19.3,21.8,24.3
7,2023-07-03,19.7,22.4,25.2
